"Analyte.Name","Analyte.Class","gene","r2","correlation","p-value","p.adj"
"Dihexosylceramide..d18.1.26.0.","Dihexosylceramides","K15551",0.287295630888437,-0.573776452380859,0.0127809469773487,0.0470506489063478
"Dihydroceramide..d18.0.20.0.","Dihydroceramides","K00091",0.559889575082243,-0.780250429930313,0.00775041861501313,0.0395402712393043
"Dihydroceramide..d18.0.20.0.","Dihydroceramides","K01220",0.582987787268938,-0.793298479497086,0.00617103629686709,0.0366146868332572
"Dihydroceramide..d18.0.20.0.","Dihydroceramides","K13640",0.496437668359981,-0.743228792864085,0.0137619678043572,0.0485606390240639
"Dihydroceramide..d18.0.20.0.","Dihydroceramides","K17810",0.769203817240159,-0.891542392456358,0.000530083589901224,0.0190666148375403
"Dihydroceramide..d18.0.20.0.","Dihydroceramides","K20459",0.523223485995432,-0.759077502115668,0.0108913706701182,0.0447376356957323
"Dihydroceramide..d18.0.24.1.","Dihydroceramides","K01295",0.15330777360377,0.423042685550282,0.0126752856326538,0.0469243408851185
"Dihydroceramide..d18.0.24.1.","Dihydroceramides","K06990",0.229022841045318,0.502380120283502,0.00246415380690742,0.0283883804042138
"Dihydroceramide..d18.0.24.1.","Dihydroceramides","K09774",0.152156814349385,0.421721510118198,0.0129857007493371,0.0473909456826042
"Dihydroceramide..d18.0.24.1.","Dihydroceramides","K16013",0.145233070692415,0.413684781993791,0.0150150508782349,0.0496651682895464
"Dihydroceramide..d18.0.24.1.","Dihydroceramides","K18118",0.143429494850461,0.411565519479814,0.0155924227070478,0.0498841080878906
"Docosahexaenoic.acid","Fatty acids","K03296",0.241439951598404,-0.514224289324985,0.00186391383677445,0.0261170426921295
"Docosahexaenoic.acid","Fatty acids","K03673",0.154148077451823,0.424004662583652,0.0124532191161606,0.0465160573397851
"Docosahexaenoic.acid","Fatty acids","K06192",0.24658417114157,0.519051976043103,0.00165863896969077,0.024675980359432
"Docosahexaenoic.acid","Fatty acids","K09136",0.20756852410561,0.481229258392206,0.00396082024483393,0.0328130337714224
"Docosahexaenoic.acid","Fatty acids","K09474",0.184452020351311,-0.457346253392526,0.0065397329164286,0.0367159672679341
"Docosahexaenoic.acid","Fatty acids","K09892",0.184405612392409,0.457297052073446,0.00654625772994174,0.0367159672679341
"Docosahexaenoic.acid","Fatty acids","K13075",0.15707862671097,-0.427342600999268,0.011707933949857,0.0456817123850452
"Docosahexaenoic.acid","Fatty acids","K20276",0.222139225466297,0.495692207008069,0.00287243411574127,0.029356227279358
"Dodecanoic.acid","Fatty acids","K03298",0.346519660000972,-0.622384271371724,0.00762760815135444,0.0394593979449893
"Dodecanoic.acid","Fatty acids","K03389",0.291608396894763,-0.579554028619283,0.0147568574517422,0.0492557921364291
"Dodecanoic.acid","Fatty acids","K06350",0.334732130762896,-0.613442232480138,0.00882057245560033,0.0413765035189979
"Dodecanoic.acid","Fatty acids","K10212",0.398143895306932,-0.660121126650442,0.00392873230586819,0.0327727045930621
"Eicosadienoic.acid","Fatty acids","K01692",0.20065326735946,-0.477720575017803,0.00758938889586505,0.0394170111089822
"Eicosadienoic.acid","Fatty acids","K06181",0.162816171257112,-0.437817974899156,0.0155334650743485,0.0498841080878906
"Eicosapentaenoic.acid","Fatty acids","K03296",0.178040805208556,-0.450498234842464,0.00750317032197689,0.0392215200552333
"Eicosapentaenoic.acid","Fatty acids","K03923",0.179644012457933,0.452220394064324,0.00725015153780889,0.0388539278257652
"Eicosapentaenoic.acid","Fatty acids","K08310",0.161999583116863,0.432889749409275,0.0105527079361011,0.0444040070234196
"Glutamine","Amino acids","K07445",0.186465663016682,-0.459476026232973,0.00626257869117629,0.0366146868332572
"Glutamine","Amino acids","K18697",0.185145850893611,-0.458081216452424,0.0064429266813884,0.0366146868332572
"Glycine","Amino acids","K15125",0.1503332050773,0.419619689375178,0.0134927117800688,0.0485415089139527
"Glycocholic.acid","Bile acids","K06880",0.316356187870457,-0.580579595771241,0.000318559802646185,0.017697939831707
"Glycocholic.acid","Bile acids","K09696",0.151595829819673,-0.42107605856646,0.0131396639515319,0.0477533041795898
"Glycocholic.acid","Bile acids","K19504",0.143642396770073,0.411816254136453,0.0155231575151521,0.0498841080878906
"Glycolithocholic.acid","Bile acids","K15125",0.32167853569449,0.60572268130572,0.0128904229800018,0.0471777586354361
"Hexadecanoyl.carnitine","Acylcarnitines","K03090",0.206560224942819,-0.480993989477369,0.004602633434725,0.0335472076755675
"Hexadecanoyl.carnitine","Acylcarnitines","K05567",0.168010903576372,0.440466301593675,0.0103061339899215,0.0440518344524458
"Hexadecanoyl.carnitine","Acylcarnitines","K17837",0.195625589964485,-0.469853477456637,0.00579970925881901,0.0358421489673878
"Hexadecanoyl.carnitine","Acylcarnitines","K21993",0.191293502480985,-0.46536607152698,0.00635228632369793,0.0366146868332572
"Hexose","Carbohydrates and related","K02532",0.198086781270418,0.471579454427333,0.00487101275890185,0.0343634728225654
"Hexosylceramide..d16.1.22.0.","Hexosylceramides","K01130",0.149356840641685,-0.418490031036327,0.0137720231300658,0.0485606390240639
"Hexosylceramide..d16.1.22.0.","Hexosylceramides","K20483",0.323515245889434,-0.586527734973193,0.000266826154920389,0.0171902316741799
"Hexosylceramide..d16.1.24.0.","Hexosylceramides","K02302",0.151967361546738,-0.421503642081235,0.0130374993260632,0.047519119642523
"Hexosylceramide..d16.1.24.0.","Hexosylceramides","K12984",0.252588755885335,0.524630900218971,0.00144630801944365,0.0233333367830872
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K01501",0.174325672913046,-0.446481922441655,0.00812268171013024,0.0400138829521583
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K03409",0.153901373426586,-0.423722463113525,0.0125180205963847,0.0466615999939542
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K03893",0.295303398593983,-0.562723592059931,0.000531587904787727,0.0190666148375403
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K05795",0.154331531176342,-0.424214389682178,0.0124052428253965,0.0464328881713287
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K06320",0.155869710113925,-0.425968796824425,0.0120099807197078,0.0460012847535434
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K13252",0.206618445753949,-0.480271080780566,0.00404408204946627,0.0328151929389046
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K13688",0.240376863286468,-0.513220952628769,0.00190925906666735,0.0262214591209219
"Hexosylceramide..d18.1.16.0.","Hexosylceramides","K15584",0.19665534784992,-0.470105440500109,0.00502479356850299,0.0345871599349834
"Hexosylceramide..d18.1.18.0.","Hexosylceramides","K00113",0.205573890132105,-0.479215409406824,0.00413756203183107,0.0328551567588514
"Hexosylceramide..d18.1.18.0.","Hexosylceramides","K15898",0.277564555913057,-0.547226222934544,0.000810299134074538,0.0213045807453293
"Hexosylceramide..d18.1.18.1.","Hexosylceramides","K02584",0.155890240622748,-0.425992164529162,0.0120047886279765,0.0460012847535434
"Hexosylceramide..d18.1.20.0.","Hexosylceramides","K09459",0.245607753748632,-0.518139097971923,0.00169586311010897,0.0247132984511698
"Hexosylceramide..d18.1.20.0.","Hexosylceramides","K11645",0.157275818271337,-0.427566269351732,0.0116593702208824,0.0455970204841293
"Hexosylceramide..d18.1.20.0.","Hexosylceramides","K19171",0.350879573654898,-0.608728091683594,0.000133454470761412,0.0163802307924677
"Hexosylceramide..d18.1.20.0.","Hexosylceramides","K22405",0.291221465453876,-0.559195496105221,0.000586191693976863,0.0197263481256234
"Hexosylceramide..d18.1.23.0.","Hexosylceramides","K02532",0.190384260417751,0.463592569729199,0.00575530990497799,0.0358414378142713
"Hexosylceramide..d18.1.23.0.","Hexosylceramides","K06320",0.146373837463608,-0.415019634396263,0.0146606679616329,0.0491123957296694
"Hexosylceramide..d18.1.23.0.","Hexosylceramides","K18430",0.199168415189718,-0.472690214592863,0.00475782279443432,0.0339629563903098
"Hexosylceramide..d18.1.23.0.","Hexosylceramides","K18907",0.208895665657101,0.482564528610995,0.00384726321784724,0.0324680251001501
"Hexosylceramide..d18.1.23.0.","Hexosylceramides","K22424",0.144793464827394,-0.413169232129014,0.015153830568411,0.0497843221858645
"Hexosylceramide..d18.1.24.1.","Hexosylceramides","K01101",0.261013466381388,-0.53235983855205,0.00119166195217651,0.0229396768017076
"Hexosylceramide..d18.1.24.1.","Hexosylceramides","K17234",0.181379065336076,-0.454076822053154,0.00698560276816108,0.0380573110084432
"Hexosylceramide..d18.1.26.0.","Hexosylceramides","K15551",0.183817074007873,-0.456672628856853,0.00662955067847542,0.0368966672583254
